name,party,district,onfb,onptt,total
洪宗熠,民進黨,彰化縣第3選舉區,25,49,74
林于玲,國民黨,嘉義縣第2選舉區,15,59,74
陳建閣,國民黨,台東縣選舉區,30,43,73
趙正宇,無黨籍,桃園市第6選舉區,19,52,71
楊鎮浯,國民黨,金門縣選舉區,27,43,70
王淑芬,大愛憲改聯盟,台中市第1選舉區,30,38,68
林易煌,國民黨,台南市第5選舉區,25,43,68
李志鏞,國民黨,宜蘭縣選舉區,32,35,67
徐景文,民進黨,桃園市第3選舉區,18,48,66
尤瑞敏,樹黨,台北市第5選舉區,36,30,66
陳雙全,國民黨,澎湖縣選舉區,29,36,65
王榮璋,民進黨,不分區,49,15,64
侯佳齡,國民黨,不分區,39,24,63
林信義,信心希望聯盟,山地原住民選舉區,26,35,61
楊智達,綠黨社會民主黨聯盟,台南市第4選舉區,36,25,61
張兆林,台灣團結聯盟,不分區,34,27,61
陳宏瑞,民國黨,桃園市第3選舉區,19,38,57
葉大華,綠黨社會民主黨聯盟,不分區,29,27,56
林宗彥,民國黨,高雄市第9選舉區,33,22,55
顏秋月,國民黨,台中市第1選舉區,32,21,53
何偉,無黨籍,台北市第4選舉區,26,25,51
李淑華,中華統一促進黨,不分區,11,39,50
李麗芬,民進黨,不分區,36,14,50
蕭敬嚴,國民黨,不分區,31,18,49
張國鑫,民進黨,南投縣第1選舉區,10,39,49
黃茂,無黨籍,新北市第3選舉區,12,36,48
賴義鍠,國民黨,台中市第7選舉區,12,35,47
童惠珍,國民黨,不分區,27,20,47
蔡宛芬,民進黨,不分區,32,12,44
陳建斌,自由台灣黨,台北市第2選舉區,38,5,43
馬躍比吼,無黨籍,平地原住民選舉區,33,9,42
邱靖雅,民國黨,新竹縣選舉區,9,33,42
陳麗玲,新黨,不分區,14,27,41
蔡錦賢,無黨籍黨團結聯盟,不分區,16,25,41
張麗芬,綠黨社會民主黨聯盟,不分區,24,17,41
吳旭智,民國黨,台北市第6選舉區,13,27,40
林信華,國民黨,不分區,23,17,40
趙衍慶,無黨籍,台北市第6選舉區,2,36,38
馬在勤,國民黨,不分區,21,17,38
王貴蓮,民進黨,不分區,30,8,38
侯漢廷,新黨,不分區,7,31,38
王靜亞,民國黨,台北市第1選舉區,12,25,37
張耀元,民國黨,彰化縣第2選舉區,18,19,37
高基讚,台灣團結聯盟,不分區,11,26,37
黃越宏,親民黨,不分區,2,34,36
賈伯楷,綠黨社會民主黨聯盟,新北市第4選舉區,18,17,35
張菁芳,民國黨,新北市第9選舉區,12,23,35
冼義哲,樹黨,澎湖縣選舉區,23,11,34
黃玉芬,無黨籍,彰化縣第2選舉區,20,13,33
鄭村棋,人民民主陣線,台北市第6選舉區,2,31,33
郭正典,自由台灣黨,不分區,18,15,33
陳茂嘉,國民黨,新北市第4選舉區,17,14,31
蔣絜安,民進黨,不分區,22,9,31
連元章,國民黨,不分區,21,9,30
吳淑慧,民國黨,台中市第4選舉區,3,27,30
楊建中,國民黨,不分區,17,12,29
蘇柏豪,樹黨,連江縣選舉區,11,18,29
蔡媽福,中華統一促進黨,高雄市第9選舉區,6,23,29
林一方,自由台灣黨,苗栗縣第1選舉區,11,18,29
王新昌,軍公教聯盟黨,高雄市第5選舉區,10,19,29
王桂芸,國民黨,不分區,18,10,28
邱錫奎,無黨籍,宜蘭縣選舉區,5,23,28
謝世英,民進黨,不分區,19,9,28
林昊宜,親民黨,平地原住民選舉區,11,16,27
楊世光,新黨,不分區,3,23,26
邱泰源,民進黨,不分區,19,7,26
瓦歷斯貝林,民進黨,山地原住民選舉區,10,16,26
林倩綺,國民黨,不分區,17,9,26
曾美玲,民進黨,不分區,19,7,26
邱素蘭,國民黨,不分區,17,9,26
郭淑娟,國民黨,不分區,18,8,26
吳國譽,民國黨,平地原住民選舉區,17,9,26
鄭女勤,國民黨,不分區,17,8,25
曾瓊瑤,國民黨,不分區,17,8,25
馮珮,信心希望聯盟,不分區,21,3,24
陳義聰,民進黨,不分區,16,8,24
董建宏,民進黨,不分區,17,6,23
蘇通達,樹黨,新北市第1選舉區,9,14,23
吳俊德,信心希望聯盟,台北市第2選舉區,7,15,22
鄧秀寶,民國黨,台南市第3選舉區,5,17,22
呂東杰,綠黨社會民主黨聯盟,桃園市第6選舉區,13,9,22
黃鈞民,軍公教聯盟黨,新北市第6選舉區,12,9,21
沈采穎,新黨,不分區,15,6,21
周春米,民進黨,不分區,16,5,21
黃義佑,民進黨,不分區,16,5,21
陳靜敏,民進黨,不分區,16,4,20
孫博萮,無黨籍,宜蘭縣選舉區,13,7,20
林麗容,正黨,新北市第4選舉區,10,9,19
李卓翰,台灣團結聯盟,不分區,12,7,19
陳韻如,中華統一促進黨,不分區,10,8,18
黃玉燕,無黨籍,苗栗縣第1選舉區,0,18,18
黃信吉,軍公教聯盟黨,台中市第3選舉區,6,12,18
李貴寶,民國黨,新北市第6選舉區,4,13,17
林琮翰,國民黨,平地原住民選舉區,9,8,17
高丹樺,軍公教聯盟黨,金門縣選舉區,9,7,16
林德旺,無黨籍,台南市第1選舉區,0,16,16
戴文祥,無黨籍,苗栗縣第2選舉區,10,6,16
李宗華,軍公教聯盟黨,新竹縣選舉區,8,7,15
陶君亮,信心希望聯盟,不分區,0,15,15
洪美珍,大愛憲改聯盟,不分區,9,6,15
黃國華,健保免費連線,桃園市第5選舉區,11,4,15
邱馨慧,樹黨,不分區,14,1,15
高潞以用,時代力量,不分區,3,11,14
許謹如,國民黨,屏東縣第3選舉區,4,10,14
謝英俊,綠黨社會民主黨聯盟,不分區,8,6,14
楊紫宗,親民黨,不分區,3,10,13
葉春幸,信心希望聯盟,台中市第4選舉區,5,8,13
吳金魁,軍公教聯盟黨,新北市第8選舉區,5,6,11
陳家宏,樹黨,台北市第6選舉區,4,7,11
陸炳成,軍公教聯盟黨,不分區,0,11,11
顏綠芬,台灣團結聯盟,不分區,4,7,11
李建明,樹黨,新北市第6選舉區,2,8,10
劉義雄,軍公教聯盟黨,高雄市第8選舉區,7,3,10
吳紹文,綠黨社會民主黨聯盟,宜蘭縣選舉區,6,3,9
黃清原,台灣獨立黨,台北市第1選舉區,1,8,9
簡孟軒,信心希望聯盟,台中市第5選舉區,3,6,9
黃宏成台灣阿成世界偉人財神總統,無黨籍,嘉義市選舉區,5,4,9
陳永順,信心希望聯盟,新北市第12選舉區,0,8,8
張賜,軍公教聯盟黨,不分區,0,8,8
蕭忠漢,健保免費連線,新北市第3選舉區,7,1,8
羅文欽,無黨籍,桃園市第5選舉區,3,5,8
方景鈞,無黨籍,台北市第8選舉區,1,7,8
王國棟,無黨籍,台南市第2選舉區,0,8,8
林世偉,無黨籍,山地原住民選舉區,1,6,7
黃光藝,台灣團結聯盟,不分區,2,5,7
傅馨儀,台灣團結聯盟,不分區,2,5,7
林新凱,台灣獨立黨,台北市第3選舉區,2,4,6
楊悟空,泛盟黨,花蓮縣選舉區,0,6,6
張育華,人民民主陣線,高雄市第8選舉區,2,4,6
曾獻瑩,信心希望聯盟,台北市第6選舉區,1,5,6
龎維良,無黨籍,台北市第6選舉區,1,5,6
林世杰,自由台灣黨,不分區,1,5,6
南岳君,信心希望聯盟,不分區,0,6,6
陳兆銘,台灣獨立黨,台北市第4選舉區,0,6,6
陳佩俞,樹黨,桃園市第2選舉區,0,6,6
林玉芳,台灣團結聯盟,不分區,0,5,5
李心儀,台灣團結聯盟,不分區,1,4,5
劉冠霆,親民黨,不分區,4,1,5
陳金梅,軍公教聯盟黨,不分區,2,3,5
梁蓓禎,信心希望聯盟,高雄市第3選舉區,0,5,5
游信義,信心希望聯盟,新北市第6選舉區,0,5,5
陳民乾,台灣獨立黨,台北市第2選舉區,0,5,5
曾文聖,健保免費連線,新北市第9選舉區,0,5,5
林幸蓉,健保免費連線,台北市第2選舉區,3,1,4
周芳如,無黨籍,台北市第6選舉區,2,2,4
林景元,無黨籍,高雄市第7選舉區,0,4,4
鄭文松,和平鴿聯盟黨,不分區,1,3,4
吳淑敏,無黨籍,新竹市選舉區,4,0,4
趙家蓉,新黨,不分區,0,4,4
張素華,台灣團結聯盟,不分區,0,4,4
蔡青芳,台灣團結聯盟,不分區,0,4,4
莊明憲,大愛憲改聯盟,高雄市第3選舉區,1,3,4
賴立竹,無黨籍,桃園市第3選舉區,0,4,4
石大哉,軍公教聯盟黨,台中市第7選舉區,1,2,3
李家幸,台灣獨立黨,台北市第5選舉區,1,2,3
林家宇,自由台灣黨,新竹市選舉區,2,1,3
